symbol,sector,hist_price,fundamental_score,technical_score,risk_score,combined_score,signal,mom_12m,sharpe_1y,max_drawdown_1y,eps_growth_ttm,roe_ttm,net_margin_ttm,revenue_growth_ttm,debt_to_equity,pe_ratio,avg_daily_value
GND,Transportation,2381.0,88.23485296659241,83.0,86.28053482979655,86.27353344925552,STRONG BUY,82.30137973170268,1.9400445691497132,-19.637675296632008,558.6734693877551,21.859491696289,38.4845849438285,11.697426169155827,0.334013473553232,7.555512522592306,4776233498.95
RES,Finance,8369.0,75.1292446245785,97.62839582931625,85.99128632774327,84.05139832663278,STRONG BUY,40.513583317265,1.4992738606452725,-11.876968408955328,58.54781335007324,18.6271336241047,116.403758336211,7.532591720565172,0.522774079821906,6.090067895531799,6150066354.75
EQU,Finance,1814.0,80.26845735086506,92.22240927820428,74.04990391960334,82.61093224281448,STRONG BUY,18.889637112817127,0.5041586599669448,-12.773722627737227,65.17980636237898,11.296112711744,38.846779223741,23.273734052938075,0.722546833369603,9.305003140046054,2524016016.7000003
YYLBEE,Finance,5400.0,89.91882278219737,83.0,61.45357825213078,82.15012704152485,STRONG BUY,116.11709156484392,1.7877981876775653,-25.454545454545453,693.630698075491,60.0214751347658,301.984365773812,5.084693052474447,1.98720358628161,1.333471619279036,499375259.99999994
SEA,Finance,1300.0,88.78949165724994,76.03059931664276,73.76796487997066,81.95751859961194,STRONG BUY,34.12239726657103,0.8973304066642223,-13.037037037037036,45.80174108396516,16.8480583131176,85.9768054809831,22.2374366698617,0.335338885391993,6.095916795069337,805790830.0
APH,Non-energy minerals,1700.0,94.06476628189682,80.0,50.42559734235521,81.11750260941946,STRONG BUY,50.58746998149988,0.868799778529601,-22.88888888888889,73.17094636138054,45.7112254767199,25.499840810585,30.41545435989556,0.0961305862937957,6.855085230645618,99298275.0
NPH,Non-energy minerals,33474.0,93.33118384161087,83.0,44.066961313047955,80.37898418341503,STRONG BUY,149.8184778228679,1.7555801094206631,-32.430794291581364,496.56167910738907,26.2457358919168,22.1820534659145,35.65951380922475,0.3060330243298529,14.786024449366094,51075189889.5
PAN,Non-energy minerals,3087.0,89.42120696797994,70.0,65.0,78.71060348398997,STRONG BUY,181.46224066777972,2.2920866878488915,-26.305130739545568,157.4817510690393,43.4821763002258,29.1174075442987,107.23947668951,0.195157740278797,15.077008116684182,19856671241.4
CFR,Consumer durables,330500.0,83.48375190610813,87.28194652067188,52.17749777330578,78.36195946391678,STRONG BUY,-0.8722139173124699,-0.23520851889118494,-23.69362281932538,226.95929230800925,18.2024117551596,17.4526729897451,12.205473669191033,0.6676131242112849,22.985884007952148,34921720650.0
HYP,Finance,5626.0,64.56821404483142,95.06316668439612,80.86099196925746,76.97525542158604,STRONG BUY,30.252666737584466,1.0717493307714547,-16.75465513258636,11.9356119840147,14.5941886208663,72.3246662158473,5.975220412626279,0.524818547048955,6.183543812575534,4498997148.3
BTI,Consumer non-durables,108000.0,72.40971370301598,82.45305785484504,79.90052314852414,76.92087883766634,STRONG BUY,47.812231419380204,1.408376929043678,-16.3596067040194,144.64536760022938,15.7365556682963,29.9765716516986,-6.537356766385267,0.7317531193923971,13.903355604420907,40280419800.0
