Symbol,Description,"Gross margin %, Trailing 12 months","Operating margin %, Trailing 12 months","Pretax margin %, Trailing 12 months","Net margin %, Trailing 12 months","Free cash flow margin %, Trailing 12 months","Return on assets %, Trailing 12 months","Return on equity %, Trailing 12 months","Return on invested capital %, Trailing 12 months","Research and development ratio, Trailing 12 months","Selling, general, and admin expenses ratio, Trailing 12 months"
BHG,BHP Group Ltd,40.9293745759385,40.9293745759385,38.2023923645699,18.951950998927,19.36267916395681,9.42417055323535,21.278041715691,14.5665355865582,,
ANH,Anheuser-Busch InBev SA/NV,55.9339459766035,25.3592275216566,18.5202845056394,11.5836289741996,18.32628378929592,3.12352595632396,8.11966092380431,4.35266692535025,,30.574718454946932
BTI,British American Tobacco p.l.c.,62.4326434986333,40.2069504099961,31.9328387348692,29.9765716516986,17.03240921515033,6.72863284382683,15.7365556682963,9.48275329648272,,23.033971105037097
CFR,Compagnie Financiere Richemont SA,65.8236624204558,21.3325971911759,20.8791172217834,17.4526729897451,17.934294512250876,9.14442915091595,18.2024117551596,12.7498538344667,,44.49106522927965
GLN,Glencore plc,2.05108795781735,0.985680439841881,-0.398174694541209,0.135978383341422,0.1540622713489034,0.243057914382779,0.831350945507947,0.502095858219716,,1.0654075179755123
PRX,Prosus N.V. Class N,42.2103596876322,3.4644262722793,107.15201743622,198.640714978528,27.583065048062664,18.9176329702152,27.2505523384291,20.7640417322783,,38.74593341535304
AGL,Anglo American plc,39.1104871424026,20.1162026371921,4.50629383016085,-6.26155750995305,9.019316141227575,-1.88454183789113,-5.88041694294777,-3.28602168273519,0.20497331798668694,18.789311187223795
ANG,Anglogold Ashanti PLC,56.0361812645347,48.5402113559207,45.1818018986336,31.1123052122664,35.8344537880564,23.879571074916,45.3850676070124,35.561469955766,,2.4986566362102227
NPN,Naspers Limited Class N,41.4356785108354,2.54600349850173,90.8943521507985,73.0092761278051,23.40443956142311,8.01818189401081,26.6602473533711,15.4076835831452,,38.889675012333655
GFI,Gold Fields Limited,54.1189729893273,48.4302556530436,60.2229871127174,40.5106495098457,34.75594719882724,28.4119167184936,52.9923450771298,38.5556648497868,,5.6887173362836245
CPI,Capitec Bank Holdings Limited,,33.14667385934952,29.1150851218319,25.126707596694093,44.47656549713616,6.70990429660604,30.5059765858222,29.2047181922591,,
FSR,FirstRand Limited,,37.67075260998286,22.2984008885234,29.649924687061755,27.214102618300046,1.74811998056198,21.3349030380326,17.7015642170097,,
SBK,Standard Bank Group Limited,,23.072831166454076,33.0742362375166,14.042292754634527,27.993145405946112,1.42520600177178,18.6756279251986,9.6204525727363,,
VAL,Valterra Platinum Limited,24.5491274821628,22.4843118714003,19.6252041605777,13.2553941373678,10.472792916702485,9.02775948222111,15.3980577676811,15.3277270829606,0.08768159546118799,1.9582222986331987
MTN,MTN Group Limited,47.6077050995338,34.0686436678179,19.5291720149797,8.93752729293758,19.88205039985532,4.35895670731183,15.0959983907138,7.80188404987938,,13.19632830040537
VOD,Vodacom Group Limited,40.0266069515176,22.9560202742563,19.8053237981724,12.4288173751821,18.217936215552424,7.84439623566243,22.3727197369063,12.4114466395559,,17.07058667726129
INL,Investec Limited,,38.11914873888214,17.01916286411,29.461288858895596,,1.09131352856615,12.4437298818585,5.84162287281397,,
INPR,Investec Limited Non-Red.Non-Cum.Non-Ptg.Prf.Shs,,38.11914873888214,17.01916286411,29.461288858895596,,1.09131352856615,12.4437298818585,5.84162287281397,,
S32,South32 Ltd.,-3.37417085252268,-3.37417085252262,7.96905331910124,6.75533753524902,7.185898541774622,2.65875589232357,3.99464083144234,3.48924612734424,,
IMP,Impala Platinum Holdings Limited,13.2311066646144,12.9386639987687,11.7400338617824,7.8978759427428,8.17492688933354,5.89240088421899,8.57427820974084,8.42647617288132,,0.36843927966753887
ABG,Absa Group Limited,,28.42556543606369,15.6802803341744,16.825983548196515,29.50626691062067,1.03124896998125,13.3583895846175,4.20522975047658,,
